"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Tsu"	"Vol"	"Country"	"Area"	"Region"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Missing"	"Injuries"	"Damage ($Mil)"	"Houses Destroyed"	"Total Deaths"	"Total Missing"	"Total Injuries"	"Total Damage ($Mil)"	"Total Houses Destroyed"
"[""1200 <= Year >= 2021""]"																									
	1493	8	18				"GREECE"		130	"GREECE:  DODECANESE ISLANDS"	36.8	27			9										
	1494	3	24				"CHINA"		30	"CHINA:  YUNNAN PROVINCE:  QUJING"	25.5	103.8		5.5	7	3				200	3				200
	1494	6	13				"FRANCE"		120	"FRANCE:  NEAR S COAST"	43.8	7			10										
	1494	6	23				"FRANCE"		120	"FRANCE:  LANTOSQUE,ROQUEBILLIERE,NICE"	43.4	7.1			8										
	1494	7	1		3119		"GREECE"		130	"GREECE:  CRETE"	35.5	25.5		7.2											
	1495	4	10				"CHINA"		30	"CHINA:  NINGXIA:  ZHONGWEI"	37.6	105.6		6.3	8			12		50			12		50
	1495	9	12		142		"JAPAN"		30	"JAPAN:  KAMAKURA"	35.1	139.5		7.1							200				
	1496	1	23	17			"CROATIA"		130	"BALKANS NW:  CROATIA"	43.5	16.1			10										
	1498	7	9		144		"JAPAN"		30	"JAPAN:  ENSHUNADA SEA"	34.4	137.7		6.4											
	1498	8	2		145		"VENEZUELA"		90	"VENEZUELA: BOCA DE LA SIERPE"	9.9	-62.3													
	1498	9	20		146		"JAPAN"		30	"JAPAN:  ENSHUNADA SEA"	34	138.1		8.3							5000				1000
	1498	9	20		2993		"JAPAN"		30	"JAPAN:  NANKAIDO"	33.5	135.2		7.5											
	1499						"CHINA"		30	"CHINA:  YUNNAN PROVINCE:  YI LIANG"	25	103				10000					10000				
	1500	1	4				"CHINA"		30	"CHINA:  YUNNAN PROVINCE:  YILIANG"	24.9	103.1			9	10000					10000				
	1500				147		"USA"	"HI"	150	"HAWAII"															
	1501	1	19				"CHINA"		30	"CHINA:  SHAANXI PROVINCE:  CHAOYI"	34.8	110.1		7	9	400				5400	400				5400
	1501	9	24				"INDIA"		60	"INDIA:  KASHMIR:  SRINAGAR"	34.1	74.8			7										
	1501						"GREECE"		130	"GREECE:  CRETE"	35.5	25			10										
	1502	3	26	13			"CROATIA"		130	"BALKANS NW:  CROATIA"	45.8	16.1			10										
	1502	10	17				"CHINA"		30	"CHINA:  HENAN PROVINCE:  PUCHENG"	35.7	115.3		6.5	8	50					50				
	1502						"DOMINICAN REPUBLIC"		90	"DOMINICAN REPUBLIC:  SANTO DOMINGO"	18.3	-69.5													
	1504	3					"SWITZERLAND"		120	"SWITZERLAND"	46.8	10.2			8										
	1504	4	5				"SPAIN"		130	"SPAIN:  CARMONA"	37.3	-5.4			10										
	1504	12	7				"CROATIA"		130	"BALKANS NW:  CROATIA"	42.6	18.1			10										
	1505	6	6				"NEPAL"		60	"NEPAL-INDIA"	29.5	83		8.2											
	1505	7	6				"AFGHANISTAN"		40	"AFGHANISTAN:  KABUL"	34.5	69.2			12										
	1505	10	16				"CHINA"		30	"CHINA:  SHANXI PROVINCE:  ANYI, GUEHENG"	35.2	110.9		5	6										
	1505						"SLOVENIA"		130	"BALKANS NW:  SLOVENIA:  KAPELE"	45.9	14.2			10										
	1507	11	4				"CHINA"		30	"CHINA:  YUNNAN PROVINCE:  ANNING, YUXI"	24.6	102.5		5.3	6										
	1508	5	29		149		"GREECE"		130	"GREECE:  CRETE:  IRAKLION (CANDIA),MEGALOKASTRON"	35.2	25.1	100		10	300									
	1509	2	25				"ITALY"		130	"ITALY:  REGGIO DI CALABRIA"	38.1	15.7			10										
	1509	6	17		151		"CHINA"		30	"CHINA:  E. CHINA SEA"	31.5	121.5													
	1509	9	10		152		"TURKEY"		140	"TURKEY:  ISTANBUL"	40.8	28.1		7.7	10	5000		10000		1700	5000		10000		1700
	1509	9	14	0			"SLOVENIA"		130	"BALKANS NW:  SLOVENIA:  BLED,SLATNA,BEGUNJE"	46.4	14.1			8										
	1509	11	16				"TURKEY"		140	"TURKEY:  EDIRNE"	41.7	26.6													
	1510	6	10				"GERMANY"		120	"GERMANY:  BAVARIA:  NORDLINGEN"	48.8	10.5				2000									
